----------- Test Dataset #1 -----------

--- As Tested At ---


,  


Date/Time Tested: 2021-03-15 15:30:43

--- Customer ---
Name     : UCR CE-CER Test  Vehicle
Address  : 
           ,  
Phone    : 

--- Vehicle ---
VIN           : 3AKJGBDV7FSGD9027
License Plate : 9E43660
Yr/Make/Model : 2014 / Freightliner / 


--- Test Data ---

Filter Mode : FIR
Filter Level: 60

        Time,       Time,   Distance,      Speed,   Fr Speed,   Rr Speed, Accelerati, Fr Acceler, Rr Acceler,   Dyno Cmd, Dyno Targe, Dyno Feedb, Dyno Outpu, Brake Feed, Brake Outp,  Brake Pos, FWD Wheelb, PAU Torque, Para Torqu, Accel Torq, Static Tor, Total Torq,  PAU Force, Para Force, Accel Forc, Static For, Total Forc,  PAU Power, Para Power, Accel Powe, Static Pow, Total Powe, WS Tempera, WS Pressur, WS Rel Hum, Primary Ab, Secondary 
     Seconds,    Seconds,      Miles,        MPH,        MPH,        MPH,    MPH/Sec,    MPH/Sec,    MPH/Sec,        ???,        ???,        ???,      Volts,        ???,      Volts,          %,     Inches,     Ft-Lbs,     Ft-Lbs,     Ft-Lbs,     Ft-Lbs,     Ft-Lbs,        Lbs,        Lbs,        Lbs,        Lbs,        Lbs,         HP,         HP,         HP,         HP,         HP,      Deg F,       InHg,          %,     Ft Lbs,     Ft Lbs
       Run #,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1
       0.059,      0.059,      0.000,        0.0,          0,          0,        0.0,        0.0,        0.0,      727.6,      727.6,      284.0,        0.0,        0.0,        0.0,        0.0,        0.0,         84,        200,          0,        284,        284,         42,        100,          0,        142,        142,          0,          0,          0,          0,          0,         50,       20.0,         60,      -49.7,        4.5
       1.059,      1.059,      0.000,        0.0,          0,          0,        0.0,        0.0,        0.0,      582.9,      582.9,      346.4,        0.2,        0.0,        0.0,        0.0,        0.0,        146,        200,          0,        346,        346,         73,        100,          0,        173,        173,          0,          0,          0,          0,          0,         50,       20.0,         60,      -18.5,       35.3
       2.059,      2.059,      0.000,        0.2,          0,          0,        0.0,        0.0,        0.0,      982.5,      982.5,     1097.6,        0.2,        0.0,        0.0,        0.0,        0.0,        897,        200,         19,       1098,       1117,        449,        100,          1,        549,        558,          0,          0,          0,          0,          0,         50,       20.0,         60,      364.0,      386.0
       3.059,      3.059,      0.000,        1.5,          0,          0,        1.0,        0.0,        0.0,     2346.5,     2346.5,     1253.9,        0.4,        0.0,        0.0,        0.0,        0.0,       1054,        200,       4316,       1254,       5570,        527,        100,       1393,        627,       2785,          2,          0,         10,          3,         13,         50,       20.0,         60,      420.3,      482.3
       4.059,      4.059,      0.001,        3.2,          0,          0,        1.2,        0.0,        0.0,     2796.2,     2796.2,     2166.6,        1.1,        0.0,        0.0,        0.0,        0.0,       1966,        200,       4865,       2167,       7032,        983,        100,       3000,       1083,       3516,          8,          1,         20,          9,         29,         50,       20.0,         60,      862.2,      930.6
       5.059,      5.059,      0.002,        4.0,          0,          0,        1.2,        0.0,        0.0,     2863.3,     2863.3,     2269.6,        1.1,        0.0,        0.0,        0.0,        0.0,       2069,        200,       4975,       2270,       7245,       1035,        100,       1794,       1135,       3623,         11,          1,         28,         12,         40,         50,       20.0,         60,      915.6,      977.6
       6.059,      6.059,      0.003,        5.8,          0,          0,        1.7,        0.0,        0.0,     3636.6,     3636.6,     2955.0,        1.6,        0.0,        0.0,        0.0,        0.0,       2748,        207,       6800,       2955,       9755,       1374,        103,       3542,       1477,       4878,         21,          2,         52,         23,         75,         50,       20.0,         60,     1253.9,     1301.5
       7.059,      7.059,      0.005,        6.8,          0,          0,        1.3,        0.0,        0.0,     3180.0,     3180.0,     3065.9,        1.6,        0.0,        0.0,        0.0,        0.0,       2850,        216,       5185,       3066,       8251,       1425,        108,       2300,       1533,       4125,         26,          2,         48,         28,         76,         50,       20.0,         60,     1307.4,     1347.3
