----------- Test Dataset #1 -----------

--- As Tested At ---


,  


Date/Time Tested: 2021-03-15 15:18:39

--- Customer ---
Name     : UCR CE-CER Test  Vehicle
Address  : 
           ,  
Phone    : 

--- Vehicle ---
VIN           : 3AKJGBDV7FSGD9027
License Plate : 9E43660
Yr/Make/Model : 2014 / Freightliner / 


--- Test Data ---

Filter Mode : FIR
Filter Level: 60

        Time,       Time,   Distance,      Speed,   Fr Speed,   Rr Speed, Accelerati, Fr Acceler, Rr Acceler,   Dyno Cmd, Dyno Targe, Dyno Feedb, Dyno Outpu, Brake Feed, Brake Outp,  Brake Pos, FWD Wheelb, PAU Torque, Para Torqu, Accel Torq, Static Tor, Total Torq,  PAU Force, Para Force, Accel Forc, Static For, Total Forc,  PAU Power, Para Power, Accel Powe, Static Pow, Total Powe, WS Tempera, WS Pressur, WS Rel Hum, Primary Ab, Secondary 
     Seconds,    Seconds,      Miles,        MPH,        MPH,        MPH,    MPH/Sec,    MPH/Sec,    MPH/Sec,        ???,        ???,        ???,      Volts,        ???,      Volts,          %,     Inches,     Ft-Lbs,     Ft-Lbs,     Ft-Lbs,     Ft-Lbs,     Ft-Lbs,        Lbs,        Lbs,        Lbs,        Lbs,        Lbs,         HP,         HP,         HP,         HP,         HP,      Deg F,       InHg,          %,     Ft Lbs,     Ft Lbs
       Run #,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1,          1
       0.053,      0.053,      0.000,        0.0,          0,          0,        0.0,        0.0,        0.0,      733.1,      733.1,      302.0,        0.0,        0.0,        0.0,        0.0,        0.0,        102,        200,          0,        302,        302,         51,        100,          0,        151,        151,          0,          0,          0,          0,          0,         51,       20.0,         62,      -47.0,       19.6
       1.053,      1.053,      0.000,        0.0,          0,          0,        0.0,        0.0,        0.0,      751.4,      751.4,      361.9,        0.2,        0.0,        0.0,        0.0,        0.0,        162,        200,          0,        362,        362,         81,        100,          0,        181,        181,          0,          0,          0,          0,          0,         51,       20.0,         62,        3.9,       27.8
       2.053,      2.053,      0.000,        0.1,          0,          0,        0.0,        0.0,        0.0,     1023.4,     1023.4,     1250.2,        0.3,        0.0,        0.0,        0.0,        0.0,       1050,        200,          0,       1250,       1250,        525,        100,          0,        625,        625,          0,          0,          0,          0,          0,         51,       20.0,         63,      496.6,      401.7
       3.053,      3.053,      0.000,        1.2,          0,          0,        0.6,        0.0,        0.0,     1788.3,     1788.3,     1155.4,        0.2,        0.0,        0.0,        0.0,        0.0,        955,        200,       2592,       1155,       3747,        478,        100,        721,        578,       1874,          2,          0,          5,          2,          7,         51,       20.0,         62,      399.7,      406.6
       4.053,      4.053,      0.001,        3.4,          0,          0,        2.2,        0.0,        0.0,     4110.3,     4110.3,     2131.0,        1.1,        0.0,        0.0,        0.0,        0.0,       1931,        200,       9191,       2131,      11323,        965,        100,       4255,       1066,       5661,          9,          1,         42,         10,         51,         51,       20.0,         62,      854.6,      903.4
       5.053,      5.053,      0.002,        5.1,          0,          0,        1.6,        0.0,        0.0,     3569.2,     3569.2,     3126.6,        1.7,        0.0,        0.0,        0.0,        0.0,       2925,        202,       6415,       3127,       9542,       1462,        101,       3439,       1563,       4771,         20,          1,         44,         21,         65,         51,       20.0,         62,     1339.0,     1388.5
       6.053,      6.053,      0.004,        6.7,          0,          0,        1.6,        0.0,        0.0,     3698.8,     3698.8,     3443.7,        1.8,        0.0,        0.0,        0.0,        0.0,       3229,        214,       6504,       3444,       9947,       1615,        107,       3210,       1722,       4974,         29,          2,         58,         31,         89,         51,       20.0,         63,     1487.6,     1536.8
       7.053,      7.053,      0.006,        8.5,          0,          0,        1.9,        0.0,        0.0,     4265.3,     4265.3,     3776.7,        2.0,        0.0,        0.0,        0.0,        0.0,       3547,        230,       7995,       3777,      11772,       1773,        115,       3921,       1888,       5886,         40,          3,         91,         43,        134,         51,       20.0,         63,     1645.8,     1688.3
